,threshold,accuracy,precision,recall,f1-score
0,0.01,0.29872829335191486,0.2965196832294754,0.9432530712530712,0.43669514003295745
1,0.02,0.30472961755155614,0.2978375102329689,0.9413630693630693,0.4379650715777549
2,0.03,0.32058557440522945,0.30327803160522865,0.9406357966357967,0.4436381090289904
3,0.04,0.3392922947096265,0.3103381964568465,0.9393549330598511,0.45043085523083715
4,0.05,0.371177471040963,0.3194011230495495,0.9331152460307132,0.45901798737889865
5,0.06,0.40848564740906285,0.3310934034908511,0.9323800310667144,0.4716732334053671
6,0.07,0.4437188052971045,0.34738531505416975,0.929542537352844,0.4871625653070828
7,0.08,0.4831493190377779,0.36219601878694563,0.9236464320140313,0.5016662345946682
8,0.09,0.5232325896893778,0.38403872902889574,0.9156991311970667,0.5209080888470092
9,0.1,0.5733233989975861,0.41334771552837374,0.9053823556837025,0.5455160891902239
10,0.11,0.616429713038007,0.43572448989593315,0.8923236623547293,0.5629921666606087
11,0.12,0.6561861185239881,0.4571929420708786,0.8796100532204417,0.578213496311058
12,0.13,0.6942937835426619,0.48402531915416536,0.8650678488408509,0.5994852763528558
13,0.14,0.7355280576936779,0.5160580334014546,0.8412380640838375,0.619799777722645
14,0.15,0.7541374646352282,0.5368197475936124,0.8213372463467138,0.6281518832544837
15,0.16,0.7745775826075811,0.5570135457163806,0.788666460920832,0.6325824402432361
16,0.17,0.792796996450204,0.583243988688486,0.7622501301086047,0.6420981737772272
17,0.18,0.8133744641881291,0.6193581833165807,0.7513830554514893,0.6611867563741954
18,0.19,0.833029600325295,0.6537423825139196,0.72496117128528,0.6691685155136612
19,0.2,0.8516231983629112,0.7087712936852109,0.7104116424549647,0.6906107083009589
20,0.21,0.8565543594610306,0.7340887420922388,0.6856520458526973,0.689992977482572
21,0.22,0.86024499105551,0.7555361794906033,0.6661042195274711,0.6898609582272585
22,0.23,0.8608007985975219,0.7612632924181397,0.6352673885923851,0.6776432291359368
23,0.24,0.8659831640383828,0.7900124976772548,0.6223637637155193,0.6821144484820454
24,0.25,0.8632178892470599,0.8062281357595024,0.5994933414968265,0.6749077488918095
25,0.26,0.861383649781262,0.8238066264463861,0.5768612173233879,0.6627265498798882
26,0.27,0.8628767871983913,0.8439641092172957,0.5513875619928036,0.651560044700302
27,0.28,0.8585045770525799,0.8335798099958587,0.5280566732795812,0.6301463392789904
28,0.29,0.8571253452296702,0.8549409517883007,0.5006781539427311,0.6133908835247402
29,0.3,0.8509790858592615,0.8493221185091148,0.47169988977100874,0.586292594069391
30,0.31,0.844389299767396,0.855335005538261,0.44704458232646027,0.5650727101107329
31,0.32,0.83915625287238,0.8641021746284905,0.4291948536049751,0.5508746651529125
32,0.33,0.8343493716838812,0.8756892827822689,0.4117003900345332,0.5370682340709275
33,0.34,0.8307348633663098,0.8802683461117196,0.39778846730092354,0.5227746942664707
34,0.35,0.8259244063993402,0.881947446492901,0.38355271848200295,0.5087915665750683
35,0.36,0.8201349985013959,0.8819169012561437,0.3671498452556196,0.49023506244866544
36,0.37,0.8148584902841359,0.8639944903581267,0.35196851090203574,0.474396451245407
37,0.38,0.810345485487865,0.8638723641949447,0.3394443353047794,0.4616165157942062
38,0.39,0.8054986525504271,0.869402356902357,0.3250420461824186,0.4462726810307441
39,0.4,0.799727544250363,0.869090909090909,0.3098070276525481,0.4285339346014534
40,0.41,0.7967206072998163,0.8690817263544536,0.2992043091194335,0.4178040909941988
41,0.42,0.7908691081765521,0.8687012987012988,0.27795777772178243,0.39370668065198094
42,0.43,0.7858094987465192,0.8686210847975554,0.26033965936252945,0.3749279098715922
43,0.44,0.7795567929481115,0.8350649350649351,0.24167798902865104,0.3518469633540253
44,0.45,0.7736473574266172,0.8349650349650349,0.2243604893163707,0.3304786986299506
45,0.46,0.770086510958037,0.8363636363636363,0.21339122927049198,0.31615725856094473
46,0.47,0.7659585929952748,0.8181818181818182,0.19764445104549963,0.2946405564411705
47,0.48,0.7624223437704047,0.8181818181818182,0.18493884833685426,0.27942737255039696
48,0.49,0.7579775986387345,0.8181818181818182,0.17096922641638876,0.26120757918244186
49,0.5,0.7548503119424307,0.7818181818181819,0.16009291181623797,0.24404132454605984
50,0.51,0.7533023981231081,0.7818181818181819,0.15462296642441056,0.23774945402661693
51,0.52,0.7469569648501078,0.7636363636363637,0.13608305603288337,0.21181984660386913
52,0.53,0.7448707470368987,0.7454545454545455,0.1297728987552212,0.20176370914545494
53,0.54,0.7421905616766565,0.7090909090909091,0.11101546559692217,0.17502464989384867
54,0.55,0.7405262523483264,0.7090909090909091,0.10725210498114593,0.16927612009958148
55,0.56,0.7381942308344868,0.6909090909090909,0.09904651453166963,0.15797065792838835
56,0.57,0.7348776161418449,0.6545454545454545,0.08950130375228348,0.1435384680226608
57,0.58,0.7310219573564675,0.6,0.0780433656350718,0.12467610059021807
58,0.59,0.7283742311134628,0.5818181818181818,0.07295220895410169,0.11631927197841087
59,0.6,0.7252157755522421,0.5454545454545454,0.06158680370170103,0.10195549813130221
60,0.61,0.7223949615662156,0.5272727272727272,0.0524635484467884,0.08890322797226793
61,0.62,0.720723854895109,0.509090909090909,0.048626455207286784,0.0823868675869911
62,0.63,0.7183257687269693,0.45454545454545453,0.04180265586632497,0.07081211280097711
63,0.64,0.7178202288774879,0.45454545454545453,0.04084828458463362,0.06926562115950738
64,0.65,0.7170772617857334,0.43636363636363634,0.03869956227780854,0.06537798436757497
65,0.66,0.7161629470960564,0.4,0.03555669578961708,0.05981851830733303
66,0.67,0.71519822732385,0.38181818181818183,0.03373712375808326,0.05671620758060759
67,0.68,0.7145626082595041,0.36363636363636365,0.03166613525126294,0.05281194956435825
68,0.69,0.7136136121241571,0.3090909090909091,0.027672396768323282,0.04573817893995978
69,0.7,0.7134188069293519,0.3090909090909091,0.027214844542004877,0.04486484636473622
70,0.71,0.7130446983342964,0.3090909090909091,0.02630079546310713,0.043182715692891796
71,0.72,0.71171127240194,0.2727272727272727,0.02350576084106647,0.03805170289984332
72,0.73,0.7112053855657212,0.2,0.02115610846835291,0.03367291684410679
73,0.74,0.710082619442955,0.12727272727272726,0.01802207749576171,0.027700615900268843
74,0.75,0.7097520409305583,0.12727272727272726,0.017530677004361218,0.02679275183451004
75,0.76,0.7093909047405452,0.10909090909090909,0.016959531696373802,0.02567840167376375
76,0.77,0.7093603470629286,0.09090909090909091,0.01687978687978688,0.025519608501870142
77,0.78,0.7093603470629286,0.09090909090909091,0.01687978687978688,0.025519608501870142
78,0.79,0.7090297685505318,0.07272727272727272,0.016013986013986015,0.023866715939886672
79,0.8,0.7090297685505318,0.07272727272727272,0.016013986013986015,0.023866715939886672
80,0.81,0.708163967684731,0.07272727272727272,0.012983682983682984,0.020836412909583643
81,0.82,0.7072981668189302,0.07272727272727272,0.009953379953379955,0.016940309013479746
82,0.83,0.7072981668189302,0.07272727272727272,0.009953379953379955,0.016940309013479746
83,0.84,0.7058084800351256,0.03636363636363636,0.00506993006993007,0.008888888888888889
84,0.85,0.7053034295300752,0.03636363636363636,0.0036713286713286712,0.006637806637806639
85,0.86,0.7047983790250246,0.01818181818181818,0.0022727272727272726,0.00404040404040404
86,0.87,0.7047983790250246,0.01818181818181818,0.0022727272727272726,0.00404040404040404
87,0.88,0.7047983790250246,0.01818181818181818,0.0022727272727272726,0.00404040404040404
88,0.89,0.7047983790250246,0.01818181818181818,0.0022727272727272726,0.00404040404040404
89,0.9,0.7043943386209843,0.0,0.0,0.0
90,0.91,0.7043943386209843,0.0,0.0,0.0
91,0.92,0.7043943386209843,0.0,0.0,0.0
92,0.93,0.7043943386209843,0.0,0.0,0.0
93,0.94,0.7043943386209843,0.0,0.0,0.0
94,0.95,0.7043943386209843,0.0,0.0,0.0
95,0.96,0.7043943386209843,0.0,0.0,0.0
96,0.97,0.7043943386209843,0.0,0.0,0.0
97,0.98,0.7043943386209843,0.0,0.0,0.0
98,0.99,0.7043943386209843,0.0,0.0,0.0
