,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,GROUP6,GROUP7,GROUP8,GROUP9,GROUP10,GROUP11,GROUP12,GROUP13,GROUP14,GROUP15,GROUP16,GROUP17,GROUP18,GROUP19
0.33,0,0.13684,0,0,0.02564,0,0.00858,0.07725,0.00858,0.04292,0.07438,0.04132,0.02564,0.09442,0.00429,0,0.02062,0,0.01685
0.34,0,0.13684,0,0,0.02564,0,0,0.0515,0,0.04292,0.01653,0.04132,0.02564,0.07296,0.00429,0.05797,0.02062,0,0.01685
0.35,0,0.15789,0,0,0.02564,0,0,0.04721,0,0.03433,0.01653,0.04132,0.02564,0.05579,0.00429,0.03623,0,0,0
0.36,0,0.14737,0,0,0.02564,0,0,0.0515,0,0.03433,0.01653,0.04132,0.02564,0.06009,0.00429,0.03623,0,0,0
0.37,0,0.16842,0,0,0.02564,0,0,0.04721,0,0,0.01653,0.04132,0.02564,0.06009,0.00429,0.03623,0,0,0
0.38,0,0.15789,0,0,0.0641,0,0,0.06009,0,0,0.05785,0.04132,0.02564,0.04721,0.00429,0.03623,0,0,0
0.39,0,0.15789,0,0,0.0641,0,0,0.06009,0,0,0.01653,0.04132,0.02564,0.03004,0,0.04348,0,0,0
0.4,0,0.15789,0,0,0.0641,0,,0.06009,0,0.02575,0.01653,0.01653,0.02564,0.02146,0,0.05797,0,0,0
0.41,0,0.14737,0,0,0.0641,0.01282,,0.03004,0,0.02575,0.01653,0,0.02564,0.02146,0,0.07246,0,0,0
0.42,0,0.13684,0,0,0.0641,0.01282,,0,0,0.02575,0.01653,0,0.02564,0.02575,0,0.04348,0,0,0
0.43,0,0.14737,0,0,0.0641,0.01282,,0,0,0.02575,0.01653,0.02479,0.02564,0.02575,0,0.05072,0,0,0
0.44,0,0.14737,0,0,0,0.01282,,0,0,0.03433,0.01653,0.02479,0.02564,0.01717,0,0.07971,0,0,0.01685
0.45,0,0.13684,0,0,0,0.01282,,0,0,0.03433,0.01653,0.02479,0.02564,0.02575,0,0.04348,0,0,0.01685
0.46,0,0.12632,0,0,,0.01282,,0,0,0.03433,0.01653,0.02479,0.02564,0.06438,0,0.04348,0,0,0.01685
0.47,0,0.14737,0,0,,0.01282,,0,0,0.02575,0.01653,0.02479,0.02564,0.06009,0,0.04348,0,0,0.01685
0.48,0,0.12632,0,0,,0.01282,,0,0,0.02575,0.01653,0.01653,0.02564,0.05579,0,0.04348,0,0,0.01685
0.49,0,0.11579,0,0,,0.01282,,0,0,0.02146,0.01653,0.01653,0.02564,0.05579,0,0.04348,0,0,0.01685
0.5,0,0.09474,0,0,,0,,0,0,0.01288,0.01653,0.01653,0.02564,0.03433,0,0.04348,0,0,0.01685
0.51,0,0.10526,0,0,,0,,0,0,0.00429,0.01653,0.01653,0.02564,0.02146,0,0.04348,0,0,0.01685
0.52,0,0.09474,0,0,,0,,0,0,0,0.01653,0.01653,0.02564,0.00858,0,0.04348,0,0,0.01685
0.53,0,0.10526,0,0,,0,,0,0,0,0,0.01653,0.02564,0.00858,0,0.02174,0,0,0.01685
0.54,0,0.10526,0,0,,0,,0,0,0,0,0,0.02564,0.00858,0,,0,0,0.01685
