20140923 000000.txt,844,24
20140927 000000.txt,590,14
20141001 000000.txt,465,12
20141001 000001.txt,1405,34
20141006 000000.txt,1461,29
20141006 000001.txt,874,14
20141008 000000.txt,1315,25
20141011 000000.txt,1274,26
20141015 000000.txt,673,10
20141025 000000.txt,982,24
20141028 000000.txt,1104,26
20141030 000000.txt,791,16
20141115 000000.txt,1083,24
20141119 000000.txt,901,24
20141127 000000.txt,307,10
20141201 000000.txt,1056,24
20141212 000000.txt,1170,31
