20170404 000000.txt,1705,41
20170404 000001.txt,891,24
20170405 000000.txt,599,17
20170405 000001.txt,430,24
20170405 000002.txt,435,10
20170405 000003.txt,1154,24
20170406 000000.txt,1073,33
20170406 000001.txt,1156,32
20170406 000002.txt,1385,36
20170407 000000.txt,755,19
20170407 000001.txt,875,17
20170408 000000.txt,1225,37
20170410 000000.txt,725,18
20170411 000000.txt,1415,34
20170413 000000.txt,739,20
20170424 000000.txt,602,15
20170427 000000.txt,603,17
20170502 000000.txt,1065,21
20170503 000000.txt,812,20
