20170908 000000.txt,1024,39
20170911 000000.txt,178,6
20170920 000000.txt,404,14
20170922 000000.txt,868,23
20170926 000000.txt,243,8
20170929 000000.txt,471,15
20170929 000001.txt,585,13
20170929 000002.txt,175,6
20170930 000000.txt,166,6
20171001 000000.txt,205,7
20171001 000001.txt,221,7
20171002 000000.txt,208,6
20171005 000000.txt,165,6
20171009 000000.txt,1171,28
20171011 000000.txt,934,24
20171016 000000.txt,741,18
20171019 000000.txt,1159,36
20171021 000000.txt,543,19
20171024 000000.txt,899,35
20171027 000000.txt,1254,44
20171028 000000.txt,981,38
20171030 000000.txt,1288,42
20171101 000000.txt,264,8
20171108 000000.txt,314,9
20171109 000000.txt,214,7
20171112 000000.txt,257,8
20171119 000000.txt,387,10
20171201 000000.txt,1162,40
20171204 000000.txt,752,25
20171205 000000.txt,753,22
20171221 000000.txt,156,4
