20160603 000000.txt,1165,21
20160610 000000.txt,1105,33
20160614 000000.txt,1095,28
20160615 000000.txt,866,16
20160616 000000.txt,279,10
20160622 000000.txt,573,16
20160624 000000.txt,538,16
20160625 000000.txt,1612,41
20160625 000001.txt,629,18
20160625 000002.txt,973,25
20160625 000003.txt,1066,29
20160626 000000.txt,533,14
20160626 000001.txt,1365,29
20160626 000002.txt,1264,30
20160627 000000.txt,606,18
20160628 000000.txt,1359,36
20160629 000000.txt,1053,25
20160629 000001.txt,655,9
20160629 000002.txt,1012,23
20160629 000003.txt,669,15
20160630 000000.txt,748,21
20160630 000001.txt,492,17
20160701 000000.txt,1612,36
20160703 000000.txt,564,10
20160705 000000.txt,218,7
20160705 000001.txt,1350,33
20160706 000000.txt,794,30
20160706 000001.txt,1132,27
20160707 000000.txt,571,14
20160709 000000.txt,690,17
20160710 000000.txt,1158,29
20160712 000000.txt,696,14
20160712 000001.txt,1161,28
20160714 000000.txt,1002,25
20160715 000000.txt,468,6
20160719 000000.txt,762,18
20160721 000000.txt,670,16
20160727 000000.txt,512,13
20160731 000000.txt,883,19
