20140225 000000.txt,948,23
20140226 000000.txt,895,19
20140227 000000.txt,740,19
20140227 000001.txt,49,2
20140228 000000.txt,703,21
20140228 000001.txt,1460,34
20140303 000000.txt,809,18
20140304 000000.txt,607,9
20140305 000000.txt,701,8
20140305 000001.txt,685,17
20140306 000000.txt,992,22
20140307 000000.txt,917,20
20140307 000001.txt,928,23
20140307 000002.txt,267,7
20140308 000000.txt,1160,32
20140308 000001.txt,576,13
20140309 000000.txt,1019,22
20140310 000000.txt,751,14
20140311 000000.txt,895,16
20140313 000000.txt,928,18
20140315 000000.txt,1233,42
20140315 000001.txt,236,9
20140316 000000.txt,654,16
20140316 000001.txt,687,16
20140316 000002.txt,780,13
20140316 000003.txt,1211,24
20140318 000000.txt,1138,43
20140318 000001.txt,334,6
20140319 000000.txt,1064,23
20140319 000001.txt,1391,33
20140319 000002.txt,13,1
20140319 000003.txt,1304,29
20140320 000000.txt,346,14
20140321 000000.txt,535,13
20140322 000000.txt,1119,30
20140323 000000.txt,858,27
20140324 000000.txt,229,6
20140327 000000.txt,1141,26
20140328 000000.txt,442,10
20140328 000001.txt,508,13
20140328 000002.txt,1105,25
20140329 000000.txt,750,16
20140329 000001.txt,972,21
20140329 000002.txt,757,14
20140329 000003.txt,551,14
20140330 000000.txt,908,12
20140401 000000.txt,313,9
