,day,type,accuracy,precision,recall,f1-score,threshold
0,0,cos,0.37777777777777777,0.37693863789615645,1.0,0.5475024485798238,0.01
1,0,cos,0.3824915824915825,0.3787262872628726,1.0,0.5493857493857494,0.02
2,0,cos,0.3993265993265993,0.3852515506547209,1.0,0.5562189054726367,0.03
3,0,cos,0.4208754208754209,0.3939393939393939,1.0,0.5652173913043478,0.04
4,0,cos,0.45185185185185184,0.4071376547705754,1.0,0.5786749482401656,0.05
5,0,cos,0.48013468013468014,0.41998497370398197,1.0,0.5915343915343915,0.06
6,0,cos,0.5138047138047138,0.43637782982045276,1.0,0.6076086956521739,0.07
7,0,cos,0.5414141414141415,0.4508064516129032,1.0,0.6214563646470261,0.08
8,0,cos,0.5858585858585859,0.47614991482112434,1.0,0.6451240623196769,0.09
9,0,cos,0.630976430976431,0.5049773755656108,0.998211091234347,0.6706730769230768,0.1
10,0,cos,0.6734006734006734,0.5355769230769231,0.9964221824686941,0.6966854283927455,0.11
11,0,cos,0.7191919191919192,0.5731958762886598,0.9946332737030411,0.7272727272727273,0.12
12,0,cos,0.7676767676767676,0.6199551569506726,0.9892665474060823,0.7622329427980702,0.13
13,0,cos,0.8026936026936027,0.6587112171837709,0.9874776386404294,0.7902648532569791,0.14
14,0,cos,0.8377104377104377,0.7022900763358778,0.9874776386404294,0.820817843866171,0.15
15,0,cos,0.863973063973064,0.7408906882591093,0.9821109123434705,0.8446153846153847,0.16
16,0,cos,0.8848484848484849,0.7732394366197183,0.9821109123434705,0.8652482269503546,0.17
17,0,cos,0.9043771043771044,0.8116591928251121,0.9713774597495528,0.8843648208469055,0.18
18,0,cos,0.9151515151515152,0.8346213292117465,0.9660107334525939,0.8955223880597014,0.19
19,0,cos,0.9252525252525252,0.8578274760383386,0.960644007155635,0.9063291139240506,0.2
20,0,cos,0.9353535353535354,0.8877721943048577,0.9481216457960644,0.916955017301038,0.21
21,0,cos,0.9468013468013468,0.9240282685512368,0.9355992844364938,0.9297777777777778,0.22
22,0,cos,0.9535353535353536,0.9520295202952029,0.9230769230769231,0.9373297002724795,0.23
23,0,cos,0.9515151515151515,0.9603024574669187,0.9087656529516994,0.9338235294117646,0.24
24,0,cos,0.9528619528619529,0.9784735812133072,0.8944543828264758,0.9345794392523364,0.25
25,0,cos,0.9515151515151515,0.9860279441117764,0.8837209302325582,0.9320754716981132,0.26
26,0,cos,0.9474747474747475,0.9918200408997955,0.8676207513416816,0.9255725190839694,0.27
27,0,cos,0.9427609427609428,0.991701244813278,0.855098389982111,0.9183477425552353,0.28
28,0,cos,0.938047138047138,0.9957537154989384,0.8389982110912343,0.9106796116504853,0.29
29,0,cos,0.9313131313131313,0.9956616052060737,0.8211091234347049,0.9,0.3
30,0,cos,0.9272727272727272,0.9956043956043956,0.8103756708407871,0.8934911242603552,0.31
31,0,cos,0.9191919191919192,0.9954853273137697,0.7889087656529516,0.8802395209580839,0.32
32,0,cos,0.9124579124579124,0.9976798143851509,0.7692307692307693,0.8686868686868687,0.33
33,0,cos,0.9030303030303031,0.9976019184652278,0.7441860465116279,0.8524590163934426,0.34
34,0,cos,0.8942760942760942,0.9975247524752475,0.7209302325581395,0.8369678089304257,0.35
35,0,cos,0.8828282828282829,0.9974160206718347,0.6905187835420393,0.8160676532769556,0.36
36,0,cos,0.8740740740740741,0.9973262032085561,0.667262969588551,0.7995712754555199,0.37
37,0,cos,0.8626262626262626,0.9971988795518207,0.6368515205724508,0.777292576419214,0.38
38,0,cos,0.8518518518518519,0.9970674486803519,0.6082289803220036,0.7555555555555555,0.39
39,0,cos,0.8404040404040404,0.9969135802469136,0.5778175313059034,0.7315968289920723,0.4
40,0,cos,0.8316498316498316,0.9967845659163987,0.554561717352415,0.7126436781609194,0.41
41,0,cos,0.8262626262626263,0.9966996699669967,0.5402504472271914,0.7006960556844546,0.42
42,0,cos,0.8121212121212121,0.9964539007092199,0.5026833631484794,0.6682520808561235,0.43
43,0,cos,0.7973063973063973,0.9961538461538462,0.46332737030411447,0.6324786324786325,0.44
44,0,cos,0.7824915824915825,0.9957983193277311,0.42397137745974955,0.5947302383939774,0.45
45,0,cos,0.7717171717171717,0.9954954954954955,0.3953488372093023,0.5659411011523687,0.46
46,0,cos,0.7609427609427609,0.9951456310679612,0.3667262969588551,0.5359477124183006,0.47
47,0,cos,0.7508417508417509,0.9947643979057592,0.33989266547406083,0.5066666666666667,0.48
48,0,cos,0.7474747474747475,0.9946236559139785,0.33094812164579607,0.4966442953020134,0.49
49,0,cos,0.7407407407407407,1.0,0.3112701252236136,0.4747612551159618,0.5
50,0,cos,0.731986531986532,1.0,0.2880143112701252,0.44722222222222224,0.51
51,0,cos,0.7252525252525253,1.0,0.2701252236135957,0.42535211267605627,0.52
52,0,cos,0.7218855218855219,1.0,0.26118067978533094,0.41418439716312055,0.53
53,0,cos,0.7131313131313132,1.0,0.23792486583184258,0.384393063583815,0.54
54,0,cos,0.7077441077441078,1.0,0.22361359570661896,0.3654970760233918,0.55
55,0,cos,0.701010101010101,1.0,0.20572450805008943,0.34124629080118696,0.56
56,0,cos,0.692929292929293,1.0,0.18425760286225404,0.311178247734139,0.57
57,0,cos,0.6855218855218855,1.0,0.16457960644007155,0.282642089093702,0.58
58,0,cos,0.6794612794612794,1.0,0.148479427549195,0.25856697819314645,0.59
59,0,cos,0.674074074074074,1.0,0.13416815742397137,0.2365930599369085,0.6
60,0,cos,0.6646464646464646,1.0,0.10912343470483005,0.1967741935483871,0.61
