,threshold,accuracy,precision,recall,f1-score
0,0.01,0.26672859219920225,0.2626223679985502,0.9959561544825184,0.4088294546374427
1,0.02,0.2749217961426961,0.26424466281915204,0.9941781959633831,0.4107991600132217
2,0.03,0.2896182346475241,0.26720500513802775,0.9902359933024281,0.41431748253842227
3,0.04,0.3131377176601441,0.2728325617405417,0.9858050458138177,0.4209802118719301
4,0.05,0.34153769759506825,0.28058843739361294,0.9815056679257698,0.42994851250946375
5,0.06,0.3789170611279223,0.2912597570938201,0.9755290247300166,0.4421791217189879
6,0.07,0.4178714932184987,0.30370782610178626,0.9666912618323329,0.455723164271385
7,0.08,0.46502531089604915,0.3201066017745463,0.9590875345897023,0.4736354379785498
8,0.09,0.5142337105937298,0.33984563061095563,0.9493866637557455,0.4941825136370397
9,0.1,0.5645257365122247,0.3633165685517465,0.9382440683671356,0.5173542363059249
10,0.11,0.6116758405178115,0.3883730081914992,0.9231175915093014,0.5405226770422705
11,0.12,0.6492659767569167,0.41158326637344034,0.9057195242500733,0.5599389708754746
12,0.13,0.6877193858368293,0.4395432147550875,0.8846335898184647,0.5815686869913061
13,0.14,0.7207873124718773,0.4680616871013512,0.8636576915769257,0.6014919776887573
14,0.15,0.7504365031346517,0.49891629809432986,0.8414728141746315,0.6211097732812262
15,0.16,0.7746590038463095,0.5287897971892166,0.819828355885996,0.6380976528998028
16,0.17,0.7996496500019312,0.5672829402144384,0.8002779175039643,0.6589408104278962
17,0.18,0.8203320896414452,0.6058131590463308,0.7790055693895939,0.6769192858289392
18,0.19,0.8362446287956928,0.6437254995689379,0.7530003543148749,0.6899269090231814
19,0.2,0.8493602898258068,0.6821296836900541,0.7271255420084101,0.6990854328688492
20,0.21,0.858323755490665,0.7158782143652459,0.7061300317264049,0.7060278154492217
21,0.22,0.8646979532341499,0.7491534395486317,0.6824307883692837,0.7087783600022348
22,0.23,0.8708105439902318,0.7867994219117825,0.6612563899193389,0.7129250127731024
23,0.24,0.8731649736499695,0.810909877320429,0.639919653165522,0.7087884372935745
24,0.25,0.8719073669937762,0.8283278524134936,0.611506429442668,0.6952198888910384
25,0.26,0.870774899273286,0.8506052770032714,0.5859107807845116,0.6841648832048141
26,0.27,0.8700538401240245,0.8772584199002558,0.560575309431661,0.673302641457857
27,0.28,0.8673887795778491,0.8890223424635809,0.5410892044208325,0.6606209434333581
28,0.29,0.8655933485067431,0.9155258482636135,0.5213860790981473,0.6510611373934214
29,0.3,0.8622862192577609,0.9338303789744006,0.4982472621159823,0.6337899468290713
30,0.31,0.8566968870313951,0.9399677965588609,0.4712921335045349,0.6114858196754857
31,0.32,0.8512470331094548,0.9508352872777344,0.4443213446433276,0.5888933772490466
32,0.33,0.8462648534310555,0.9621666221962555,0.4201614873952783,0.5659683906481567
33,0.34,0.8413584318599608,0.9713279365170373,0.3983810344856485,0.5447993123644124
34,0.35,0.8367076252375669,0.9716674335803478,0.3807583919153378,0.5262043247615861
35,0.36,0.8308911016027443,0.9717175999114562,0.3593353448230714,0.5041144683532364
36,0.37,0.8252793647505333,0.9701593892434697,0.3404816339682044,0.48194913309520426
37,0.38,0.8207496162814758,0.9696319242161484,0.3219795109224308,0.4629496507012867
38,0.39,0.8167737379073747,0.9688956603469079,0.3064866616708382,0.4442227388806106
39,0.4,0.812347072802247,0.97125549420883,0.2893160231713189,0.4247594164853977
40,0.41,0.8087699899249907,0.9709934141943677,0.2745742340632331,0.4086900246000439
41,0.42,0.8043736951930052,0.9739647447724535,0.25622664531503786,0.3864540575530317
42,0.43,0.8001709614305731,0.9730652656390195,0.24023365954637516,0.3684610619387111
43,0.44,0.7954227283298878,0.9774437078373415,0.2221019871068083,0.3459689081279118
44,0.45,0.7905016852328193,0.9918791637215433,0.20196079524284727,0.3206631425576527
45,0.46,0.7861670793062436,0.9989947552447553,0.1848743927175286,0.29836072539946645
46,0.47,0.7824656473308089,0.9991727941176471,0.1701757558785741,0.2785590831977396
47,0.48,0.7788425010502054,0.9990768951077008,0.15711715448263658,0.2597698761233137
48,0.49,0.7757760353903149,0.9993296382562687,0.14492053086665563,0.24178429197741708
49,0.5,0.7733128405148698,1.0,0.13575981816996938,0.2281526129833171
50,0.51,0.7710684695307785,1.0,0.12822555927877927,0.21734156799026627
51,0.52,0.7685135577902276,1.0,0.11920355273403786,0.20350400667007895
52,0.53,0.7668906149059946,1.0,0.11343940103319647,0.19449981615926498
53,0.54,0.7642345352932405,1.0,0.1020520074128213,0.17738309136187597
54,0.55,0.7629000847776646,1.0,0.09781073316750959,0.17063732130296724
55,0.56,0.7608212168361222,1.0,0.09035180753452077,0.15862225361503715
56,0.57,0.7595023615127938,1.0,0.08586140337259168,0.1513430474557788
57,0.58,0.7572273078262461,1.0,0.0774457429993406,0.13739243446569468
58,0.59,0.7552361300631607,0.9375,0.07012429241653247,0.12486295661710338
59,0.6,0.7529407118151472,0.9375,0.06117846684740769,0.11039052794655183
60,0.61,0.7505492602370132,0.9375,0.05100639881373587,0.09393149617580826
61,0.62,0.7494253806673301,0.9375,0.0472274435065244,0.08742987486354538
62,0.63,0.7477347497445896,0.9375,0.04058200441802724,0.07610062140999875
63,0.64,0.7467353232334853,0.9375,0.03622175106332533,0.06857060179300987
64,0.65,0.7461045125069925,0.9375,0.03386728545233243,0.0643250155389812
65,0.66,0.7449328242411746,0.9375,0.030011799760202053,0.057189518024700826
66,0.67,0.744387137562179,0.9375,0.02826522027082274,0.05394793191396967
67,0.68,0.7435550413138623,0.9375,0.025095743399003008,0.04797309239038558
68,0.69,0.7424058642584164,0.875,0.02094956645870233,0.04005226726521596
69,0.7,0.7419834064797997,0.875,0.0195230944987426,0.03730864022290212
70,0.71,0.7417767465920441,0.875,0.018857512349561185,0.03601320215771397
71,0.72,0.7412803453001269,0.8125,0.017235625694595948,0.03283961577361166
72,0.73,0.740509306757019,0.625,0.014382250976892145,0.02730949855755503
73,0.74,0.7400943663411217,0.5625,0.012816541669756184,0.024226439095100468
74,0.75,0.7398817266523792,0.5625,0.012256277287823894,0.023121365771598252
75,0.76,0.7398217084726131,0.5625,0.012104700949685111,0.022819671496342425
76,0.77,0.7395772514274488,0.375,0.011362752471632242,0.02134197164386261
77,0.78,0.7395407230814524,0.375,0.011227177634322048,0.02107373879214592
78,0.79,0.7393867821947528,0.375,0.010637554992812614,0.01992714827639653
79,0.8,0.7393502538487564,0.375,0.010501980155502418,0.019657754243503574
80,0.81,0.7390265751528564,0.3125,0.008310148215340084,0.015794601709533743
81,0.82,0.7388001258774941,0.3125,0.00641620882140069,0.012328215154911894
82,0.83,0.7387635975314976,0.25,0.006280633984090494,0.012057652384349122
83,0.84,0.738287458861709,0.125,0.0029481132075471696,0.005713678844519966
84,0.85,0.738122114946365,0.125,0.001768867924528302,0.0034830391138802354
85,0.86,0.7379567710310212,0.0625,0.0005896226415094339,0.0011682242990654205
86,0.87,0.7379567710310212,0.0625,0.0005896226415094339,0.0011682242990654205
87,0.88,0.7379567710310212,0.0625,0.0005896226415094339,0.0011682242990654205
88,0.89,0.7379567710310212,0.0625,0.0005896226415094339,0.0011682242990654205
89,0.9,0.7378028301443217,0.0,0.0,0.0
90,0.91,0.7378028301443217,0.0,0.0,0.0
91,0.92,0.7378028301443217,0.0,0.0,0.0
92,0.93,0.7378028301443217,0.0,0.0,0.0
93,0.94,0.7378028301443217,0.0,0.0,0.0
94,0.95,0.7378028301443217,0.0,0.0,0.0
95,0.96,0.7378028301443217,0.0,0.0,0.0
96,0.97,0.7378028301443217,0.0,0.0,0.0
97,0.98,0.7378028301443217,0.0,0.0,0.0
98,0.99,0.7378028301443217,0.0,0.0,0.0
