20140928 035400.txt,531,19
20140929 052400.txt,1110,37
20140930 040000.txt,1402,33
20140930 092800.txt,699,19
20140930 101500.txt,835,27
20140930 102000.txt,862,33
20141001 132400.txt,852,25
20141001 144300.txt,662,24
20141002 092100.txt,658,20
20141002 112300.txt,957,31
20141002 153800.txt,575,16
20141003 002000.txt,706,13
20141003 114400.txt,714,25
20141006 042300.txt,731,21
20141007 005900.txt,933,30
20141010 113400.txt,1435,55
20141010 143700.txt,905,30
20141016 100100.txt,903,28
20141016 163500.txt,353,10
20141018 145400.txt,619,25
20141022 144600.txt,812,22
20141022 212500.txt,733,25
20141030 124700.txt,758,26
20141104 050000.txt,1013,29
20141111 222700.txt,749,25
20141112 132800.txt,732,25
20141118 060400.txt,1289,38
20141126 053600.txt,799,26
20141127 080000.txt,207,8
20141129 050000.txt,907,31
20141203 151100.txt,508,15
20141208 024900.txt,189,7
20141212 044600.txt,468,11
20141213 061800.txt,718,33
20141218 172000.txt,198,5
20141218 173800.txt,212,5
20141218 173900.txt,191,5
