,group,day_number,source_file,reference_file,news_srouce,news_event,news_event_date,news_numer_in_day
560,19,78,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\hk\20141201 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day78_NewYorkTimes_hk_53.txt,NewYorkTimes,hk,20141201,53
561,19,79,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\hk\20141202 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day79_Theguardian_hk_77.txt,Theguardian,hk,20141202,77
562,19,80,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\hk\20141203 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day80_Theguardian_hk_78.txt,Theguardian,hk,20141203,78
563,19,80,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20141203 151100.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day80_CNN_hk_31.txt,CNN,hk,20141203,31
564,19,84,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\catalan\20171201 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day84_NewYorkTimes_catalan_58.txt,NewYorkTimes,catalan,20171201,58
565,19,85,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\hk\20141208 024900.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day85_CNN_hk_32.txt,CNN,hk,20141208,32
566,19,86,C:/Users/Yuhsuan/Desktop/MEMDS\Theguardian\catalan\20171203 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day86_Theguardian_catalan_95.txt,Theguardian,catalan,20171203,95
567,19,87,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\catalan\20171204 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day87_NewYorkTimes_catalan_59.txt,NewYorkTimes,catalan,20171204,59
568,19,87,C:/Users/Yuhsuan/Desktop/MEMDS\CNN\catalan\20171204 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day87_CNN_catalan_25.txt,CNN,catalan,20171204,25
569,19,88,C:/Users/Yuhsuan/Desktop/MEMDS\NewYorkTimes\catalan\20171205 000000.txt,/Users/yuhsuan/Desktop/MEMDS/arrange_day_0/day88_NewYorkTimes_catalan_60.txt,NewYorkTimes,catalan,20171205,60
