ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK1390,GROUP17TH6.TEXT,0.54615,0.10873,0.18135,1
ROUGE-1+StopWordRemoval,TASK1391,GROUP17TH7.TEXT,0.49231,0.12623,0.20094,1
ROUGE-1+StopWordRemoval,TASK1389,GROUP17TH5.TEXT,0.6,0.09774,0.1681,1
ROUGE-1+StopWordRemoval,TASK1385,GROUP17TH1.TEXT,0.67692,0.03911,0.07395,1
ROUGE-1+StopWordRemoval,TASK1386,GROUP17TH2.TEXT,0.61538,0.05521,0.10133,1
ROUGE-1+StopWordRemoval,TASK1387,GROUP17TH3.TEXT,0.66154,0.07651,0.13716,1
ROUGE-1+StopWordRemoval,TASK1388,GROUP17TH4.TEXT,0.63846,0.08367,0.14795,1
ROUGE-1+StopWordRemoval,TASK1381,GROUP16TH96.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1382,GROUP16TH97.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1383,GROUP16TH98.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1384,GROUP16TH99.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1380,GROUP16TH95.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1378,GROUP16TH93.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1379,GROUP16TH94.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1374,GROUP16TH89.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1375,GROUP16TH90.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1376,GROUP16TH91.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1377,GROUP16TH92.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1370,GROUP16TH85.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1371,GROUP16TH86.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1372,GROUP16TH87.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1373,GROUP16TH88.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK748,GROUP9TH77.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK749,GROUP9TH78.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK746,GROUP9TH75.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK747,GROUP9TH76.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK744,GROUP9TH73.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK745,GROUP9TH74.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK742,GROUP9TH71.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK743,GROUP9TH72.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK740,GROUP9TH69.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK741,GROUP9TH70.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK759,GROUP9TH88.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK757,GROUP9TH86.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK758,GROUP9TH87.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK755,GROUP9TH84.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK756,GROUP9TH85.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK753,GROUP9TH82.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK754,GROUP9TH83.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK751,GROUP9TH80.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK752,GROUP9TH81.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK750,GROUP9TH79.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK728,GROUP9TH57.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK729,GROUP9TH58.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK726,GROUP9TH55.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK727,GROUP9TH56.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK724,GROUP9TH53.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK725,GROUP9TH54.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK722,GROUP9TH51.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK723,GROUP9TH52.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK720,GROUP9TH49.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK721,GROUP9TH50.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK739,GROUP9TH68.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK737,GROUP9TH66.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK738,GROUP9TH67.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK735,GROUP9TH64.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK736,GROUP9TH65.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK733,GROUP9TH62.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK734,GROUP9TH63.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK731,GROUP9TH60.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK732,GROUP9TH61.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK730,GROUP9TH59.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK308,GROUP3TH38.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK309,GROUP3TH39.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK306,GROUP3TH36.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK307,GROUP3TH37.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK788,GROUP10TH18.TEXT,0.01579,0.17647,0.02899,1
ROUGE-1+StopWordRemoval,TASK304,GROUP3TH34.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK305,GROUP3TH35.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK789,GROUP10TH19.TEXT,0.01579,0.17647,0.02899,1
ROUGE-1+StopWordRemoval,TASK302,GROUP3TH32.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK786,GROUP10TH16.TEXT,0.02632,0.1,0.04167,1
ROUGE-1+StopWordRemoval,TASK303,GROUP3TH33.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK787,GROUP10TH17.TEXT,0.01579,0.17647,0.02899,1
ROUGE-1+StopWordRemoval,TASK1327,GROUP16TH42.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK300,GROUP3TH30.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK784,GROUP10TH14.TEXT,0.03158,0.42857,0.05882,1
ROUGE-1+StopWordRemoval,TASK301,GROUP3TH31.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1328,GROUP16TH43.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK785,GROUP10TH15.TEXT,0.02105,0.2,0.0381,1
ROUGE-1+StopWordRemoval,TASK1329,GROUP16TH44.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK782,GROUP10TH12.TEXT,0.04211,0.42105,0.07656,1
ROUGE-1+StopWordRemoval,TASK783,GROUP10TH13.TEXT,0.04211,0.42105,0.07656,1
ROUGE-1+StopWordRemoval,TASK1323,GROUP16TH38.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK780,GROUP10TH10.TEXT,0.04211,0.42105,0.07656,1
ROUGE-1+StopWordRemoval,TASK781,GROUP10TH11.TEXT,0.04211,0.42105,0.07656,1
ROUGE-1+StopWordRemoval,TASK1324,GROUP16TH39.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1325,GROUP16TH40.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1326,GROUP16TH41.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1320,GROUP16TH35.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1321,GROUP16TH36.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1322,GROUP16TH37.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK319,GROUP3TH49.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK317,GROUP3TH47.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK318,GROUP3TH48.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK799,GROUP10TH29.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK315,GROUP3TH45.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK316,GROUP3TH46.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK313,GROUP3TH43.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK797,GROUP10TH27.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK314,GROUP3TH44.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK798,GROUP10TH28.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK311,GROUP3TH41.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1316,GROUP16TH31.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK795,GROUP10TH25.TEXT,0.01053,0.28571,0.0203,1
ROUGE-1+StopWordRemoval,TASK1317,GROUP16TH32.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK312,GROUP3TH42.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK796,GROUP10TH26.TEXT,0.01053,0.28571,0.0203,1
ROUGE-1+StopWordRemoval,TASK793,GROUP10TH23.TEXT,0.03158,0.42857,0.05882,1
ROUGE-1+StopWordRemoval,TASK1318,GROUP16TH33.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1319,GROUP16TH34.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK310,GROUP3TH40.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK794,GROUP10TH24.TEXT,0.01053,0.28571,0.0203,1
ROUGE-1+StopWordRemoval,TASK791,GROUP10TH21.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1312,GROUP16TH27.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1313,GROUP16TH28.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK792,GROUP10TH22.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1314,GROUP16TH29.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK790,GROUP10TH20.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1315,GROUP16TH30.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1310,GROUP16TH25.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK1311,GROUP16TH26.TEXT,0.02308,0.3,0.04286,1
ROUGE-1+StopWordRemoval,TASK768,GROUP9TH97.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK769,GROUP9TH98.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1309,GROUP16TH24.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK766,GROUP9TH95.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK767,GROUP9TH96.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK764,GROUP9TH93.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK765,GROUP9TH94.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1305,GROUP16TH20.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK762,GROUP9TH91.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK763,GROUP9TH92.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1306,GROUP16TH21.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK1307,GROUP16TH22.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK760,GROUP9TH89.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1308,GROUP16TH23.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK761,GROUP9TH90.TEXT,0,0,0,1
ROUGE-1+StopWordRemoval,TASK1301,GROUP16TH16.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK1302,GROUP16TH17.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK1303,GROUP16TH18.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK1304,GROUP16TH19.TEXT,0.03077,0.4,0.05714,1
ROUGE-1+StopWordRemoval,TASK1300,GROUP16TH15.TEXT,0.03077,0.2,0.05333,1
ROUGE-1+StopWordRemoval,TASK779,GROUP10TH9.TEXT,0.04211,0.42105,0.07656,1
ROUGE-1+StopWordRemoval,TASK777,GROUP10TH7.TEXT,0.12105,0.17424,0.14286,1
ROUGE-1+StopWordRemoval,TASK778,GROUP10TH8.TEXT,0.04211,0.2963,0.07373,1
ROUGE-1+StopWordRemoval,TASK775,GROUP10TH5.TEXT,0.2,0.1617,0.17882,1
ROUGE-1+StopWordRemoval,TASK776,GROUP10TH6.TEXT,0.16842,0.15238,0.16,1
