ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,TASK712,GROUP7TH19.TEXT,0.09281,0.22346,0.13115,1
ROUGE-1+StopWordRemoval,TASK710,GROUP7TH17.TEXT,0.09513,0.164,0.12041,1
ROUGE-1+StopWordRemoval,TASK1396,GROUP14TH10.TEXT,0.13457,0.29,0.18384,1
ROUGE-1+StopWordRemoval,TASK1397,GROUP14TH11.TEXT,0.12065,0.25743,0.1643,1
ROUGE-1+StopWordRemoval,TASK1398,GROUP14TH12.TEXT,0.09977,0.1635,0.12392,1
ROUGE-1+StopWordRemoval,TASK1399,GROUP14TH13.TEXT,0.10209,0.22798,0.14103,1
ROUGE-1+StopWordRemoval,TASK1392,GROUP14TH6.TEXT,0.32019,0.32243,0.3213,1
ROUGE-1+StopWordRemoval,TASK1393,GROUP14TH7.TEXT,0.08121,0.16432,0.1087,1
ROUGE-1+StopWordRemoval,TASK1394,GROUP14TH8.TEXT,0.15313,0.31429,0.20593,1
ROUGE-1+StopWordRemoval,TASK1395,GROUP14TH9.TEXT,0.14153,0.2891,0.19003,1
ROUGE-1+StopWordRemoval,TASK1390,GROUP14TH4.TEXT,0.33179,0.33647,0.33411,1
ROUGE-1+StopWordRemoval,TASK1391,GROUP14TH5.TEXT,0.32019,0.32936,0.32471,1
ROUGE-1+StopWordRemoval,TASK1389,GROUP14TH3.TEXT,0.33179,0.33411,0.33295,1
ROUGE-1+StopWordRemoval,TASK1385,GROUP13TH98.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1386,GROUP13TH99.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1387,GROUP14TH1.TEXT,0.30394,0.28918,0.29638,1
ROUGE-1+StopWordRemoval,TASK1388,GROUP14TH2.TEXT,0.32251,0.33575,0.32899,1
ROUGE-1+StopWordRemoval,TASK1381,GROUP13TH94.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1382,GROUP13TH95.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1383,GROUP13TH96.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1384,GROUP13TH97.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1380,GROUP13TH93.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1378,GROUP13TH91.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1379,GROUP13TH92.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1374,GROUP13TH87.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1375,GROUP13TH88.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1376,GROUP13TH89.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1377,GROUP13TH90.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1370,GROUP13TH83.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1371,GROUP13TH84.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1372,GROUP13TH85.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK1373,GROUP13TH86.TEXT,0.20787,0.31897,0.2517,1
ROUGE-1+StopWordRemoval,TASK748,GROUP7TH55.TEXT,0.07889,0.19101,0.11166,1
ROUGE-1+StopWordRemoval,TASK749,GROUP7TH56.TEXT,0.12297,0.28191,0.17124,1
ROUGE-1+StopWordRemoval,TASK746,GROUP7TH53.TEXT,0.06265,0.15,0.08838,1
ROUGE-1+StopWordRemoval,TASK747,GROUP7TH54.TEXT,0.07425,0.22069,0.11111,1
ROUGE-1+StopWordRemoval,TASK744,GROUP7TH51.TEXT,0.13225,0.2375,0.1699,1
ROUGE-1+StopWordRemoval,TASK745,GROUP7TH52.TEXT,0.07425,0.2406,0.11348,1
ROUGE-1+StopWordRemoval,TASK742,GROUP7TH49.TEXT,0.14385,0.22794,0.17639,1
ROUGE-1+StopWordRemoval,TASK743,GROUP7TH50.TEXT,0.11369,0.26064,0.15832,1
ROUGE-1+StopWordRemoval,TASK1768,GROUP17TH85.TEXT,0.06154,0.08602,0.07175,1
ROUGE-1+StopWordRemoval,TASK740,GROUP7TH47.TEXT,0.07193,0.16402,0.1,1
ROUGE-1+StopWordRemoval,TASK1767,GROUP17TH84.TEXT,0.03846,0.05435,0.04505,1
ROUGE-1+StopWordRemoval,TASK741,GROUP7TH48.TEXT,0.08585,0.19474,0.11916,1
ROUGE-1+StopWordRemoval,TASK1769,GROUP17TH86.TEXT,0.10769,0.08917,0.09756,1
ROUGE-1+StopWordRemoval,TASK1764,GROUP17TH81.TEXT,0.07692,0.08696,0.08163,1
ROUGE-1+StopWordRemoval,TASK1763,GROUP17TH80.TEXT,0.03846,0.03817,0.03831,1
ROUGE-1+StopWordRemoval,TASK1766,GROUP17TH83.TEXT,0.03846,0.05435,0.04505,1
ROUGE-1+StopWordRemoval,TASK1765,GROUP17TH82.TEXT,0.03077,0.04706,0.03721,1
ROUGE-1+StopWordRemoval,TASK1760,GROUP17TH77.TEXT,0.03846,0.05051,0.04367,1
ROUGE-1+StopWordRemoval,TASK1762,GROUP17TH79.TEXT,0.06154,0.05517,0.05818,1
ROUGE-1+StopWordRemoval,TASK1761,GROUP17TH78.TEXT,0.08462,0.07639,0.08029,1
ROUGE-1+StopWordRemoval,TASK759,GROUP7TH66.TEXT,0.13225,0.1657,0.1471,1
ROUGE-1+StopWordRemoval,TASK757,GROUP7TH64.TEXT,0.05336,0.18254,0.08259,1
ROUGE-1+StopWordRemoval,TASK758,GROUP7TH65.TEXT,0.08121,0.19663,0.11494,1
ROUGE-1+StopWordRemoval,TASK755,GROUP7TH62.TEXT,0.09977,0.20976,0.13522,1
ROUGE-1+StopWordRemoval,TASK756,GROUP7TH63.TEXT,0.06729,0.19728,0.10035,1
ROUGE-1+StopWordRemoval,TASK753,GROUP7TH60.TEXT,0.06497,0.21538,0.09982,1
ROUGE-1+StopWordRemoval,TASK754,GROUP7TH61.TEXT,0.06265,0.16168,0.0903,1
ROUGE-1+StopWordRemoval,TASK751,GROUP7TH58.TEXT,0.07657,0.19186,0.10945,1
ROUGE-1+StopWordRemoval,TASK1757,GROUP17TH74.TEXT,0.09231,0.07059,0.08,1
ROUGE-1+StopWordRemoval,TASK752,GROUP7TH59.TEXT,0.2993,0.34959,0.3225,1
ROUGE-1+StopWordRemoval,TASK1756,GROUP17TH73.TEXT,0.07692,0.04854,0.05952,1
ROUGE-1+StopWordRemoval,TASK1759,GROUP17TH76.TEXT,0.04615,0.03077,0.03692,1
