,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.18231,0.05765,0.15044,0.12035,0.1893,0.18868,0.1039,0.27549,0.06086,0.06944,0.09572,0.104,0.09615,0.18198,0.27044,0.20657,0.06395,0.03376,0.26772
1,0.18533,0.05857,0.15044,0.13655,0.1893,0.18868,0.1039,0.27549,0.06125,0.06944,0.09572,0.104,0.09615,0.1883,0.26042,0.20657,0.06395,0.0338,0.26772
2,0.20186,0.07273,0.15044,0.14699,0.19748,0.18868,0.1039,0.26806,0.06689,0.06551,0.10758,0.07692,0.09615,0.18985,0.24399,0.20792,0.06395,0.03429,0.29762
3,0.21649,0.07619,0.14554,0.15243,0.22564,0.18868,0.1039,0.2852,0.06636,0.06289,0.11082,0.07692,0.09615,0.19231,0.24188,0.20812,0.06481,0.03581,0.30154
4,0.22563,0.07914,0.14554,0.14991,0.22564,0.18145,0.1039,0.2806,0.06323,0.06706,0.11978,0.07692,0.09615,0.1841,0.3348,0.21485,0.06481,0.03859,0.15091
5,0.21086,0.08235,0.18932,0.1776,0.22564,0.17727,0.1039,0.2954,0.06495,0.07129,0.10456,0.07692,0.09615,0.1968,0.32589,0.20317,0.06643,0.04171,0.15414
6,0.236,0.08437,0.18543,0.18727,0.24161,0.17727,0.1039,0.30736,0.06878,0.06906,0.12923,0.07692,0.09615,0.19487,0.07447,0.20074,0.07056,0.04581,0.1582
7,0.24454,0.08906,0.18657,0.15187,0.24161,0.23718,0.1039,0.31436,0.06861,0.06233,0.13621,0.07692,0.09615,0.21446,0.0625,0.18367,0.0726,0.05009,0.16397
8,0.24348,0.08763,0.14815,0.15945,0.24161,0.23704,0.1039,0.31579,0.06843,0.06625,0.13072,0.07692,0.09615,0.20968,0.06557,0.19066,0.07965,0.05075,0.16397
9,0.24229,0.09201,0.2,0.15167,0.24161,0.25,0.1039,0.32918,0.06667,0.06849,0.13072,0.07692,0.09615,0.19,0.07547,0.21912,0.08442,0.05226,0.16397
10,0.27128,0.08873,0.19643,0.17169,0.24161,0.21277,0.1039,0.33182,0.06218,0.06687,0.12676,0.07692,0.09615,0.21867,0.10526,0.19383,0.08803,0.05567,0.17544
11,0.24771,0.08019,0.21505,0.17705,0.20325,0.22619,0.1039,0.32333,0.0669,0.06093,0.10985,0.07692,0.09615,0.20222,0.10526,0.19068,0.09347,0.06104,0.1757
12,0.23926,0.06772,0.21505,0.2,0.20325,0.22619,0.1039,0.35676,0.06506,0.06343,0.10985,0.07692,0.09615,0.1856,0.10526,0.1875,0.10806,0.06406,0.1757
13,0.24088,0.1028,0.21429,0.20225,0.1982,0.23364,0.1039,0.29134,0.066,0.07353,0.13971,0.07692,0.09615,0.18794,0.10526,0.16915,0.12109,0.0709,0.18367
14,0.20149,0.08179,0.18605,0.21287,0.19802,0.22,0.1039,0.32295,0.07173,0.06593,0.13755,0.07692,0.09615,0.2345,0.10345,0.16915,0.12258,0.07312,0.19286
15,0.25,0.10658,0.18605,0.22034,0.19802,0.22581,0.1039,0.31831,0.0747,0.06593,0.125,0.07692,0.09615,0.17489,0.10345,0.199,0.13107,0.072,0.19002
16,0.23881,0.10526,0.19048,0.24277,0.20879,0.25806,0.1039,0.33236,0.07745,0.05948,0.12554,0.07692,0.09615,0.19378,0.10345,0.18621,0.15143,0.07835,0.20997
