20140214 000000.txt,854,21
20140220 000000.txt,1060,38
20140223 000000.txt,771,25
20140225 000000.txt,439,16
20140228 000000.txt,949,17
20140228 000001.txt,1279,29
20140228 000002.txt,469,11
20140302 000000.txt,1023,19
20140302 000001.txt,826,16
20140303 000000.txt,1436,30
20140303 000001.txt,854,24
20140303 000002.txt,612,15
20140303 000003.txt,708,18
20140303 000004.txt,381,10
20140303 000005.txt,280,5
20140304 000000.txt,993,39
20140304 000001.txt,1385,33
20140304 000002.txt,2194,50
20140305 000000.txt,696,17
20140305 000001.txt,494,13
20140305 000002.txt,352,15
20140305 000003.txt,401,14
20140306 000000.txt,1325,23
20140306 000001.txt,441,13
20140306 000002.txt,957,26
20140307 000000.txt,884,26
20140307 000001.txt,1262,25
20140308 000000.txt,603,10
20140308 000001.txt,1423,28
20140308 000002.txt,1000,24
20140308 000003.txt,898,16
20140310 000000.txt,2160,25
20140310 000001.txt,685,9
20140312 000000.txt,1062,13
20140313 000000.txt,443,5
20140313 000001.txt,1107,25
20140313 000002.txt,2180,44
20140314 000000.txt,844,15
20140314 000001.txt,712,17
20140314 000002.txt,277,8
20140314 000003.txt,701,17
20140315 000000.txt,816,23
20140315 000001.txt,1084,15
20140317 000000.txt,1374,29
20140317 000001.txt,2483,70
20140317 000002.txt,734,25
20140317 000003.txt,227,6
20140318 000000.txt,1375,33
20140319 000000.txt,520,13
20140319 000001.txt,600,13
20140320 000000.txt,1968,31
20140320 000001.txt,861,17
20140320 000002.txt,1350,17
20140320 000003.txt,1491,37
20140320 000004.txt,491,15
20140320 000005.txt,701,15
20140321 000000.txt,901,20
20140321 000001.txt,254,11
20140322 000000.txt,858,15
20140323 000000.txt,520,16
20140324 000000.txt,455,9
20140324 000001.txt,296,9
20140324 000002.txt,1016,20
20140325 000000.txt,708,6
20140326 000000.txt,1257,23
20140327 000000.txt,703,13
20140327 000001.txt,949,14
20140328 000000.txt,313,6
20140328 000001.txt,866,15
20140330 000000.txt,837,28
20140330 000001.txt,786,22
20140330 000002.txt,719,6
20140330 000003.txt,1071,26
20140331 000000.txt,739,18
20140331 000001.txt,322,12
