20170911 000000.txt,820,22
20170916 000000.txt,717,12
20170920 000000.txt,1301,41
20170922 000000.txt,366,5
20170923 000000.txt,899,10
20170927 000000.txt,680,12
20170929 000000.txt,1134,23
20171002 000000.txt,153,4
20171007 000000.txt,570,15
20171007 000001.txt,948,14
20171008 000000.txt,1080,32
20171010 000000.txt,1595,41
20171010 000001.txt,977,28
20171011 000000.txt,1210,31
20171015 000000.txt,954,16
20171015 000001.txt,610,11
20171016 000000.txt,1224,33
20171020 000000.txt,954,16
20171023 000000.txt,1204,35
20171027 000000.txt,457,9
20171028 000000.txt,1310,19
20171029 000000.txt,1228,31
20171031 000000.txt,993,26
20171102 000000.txt,1278,15
20171103 000000.txt,455,9
20171104 000000.txt,958,15
20171106 000000.txt,984,16
20171108 000000.txt,1286,14
20171111 000000.txt,544,19
20171113 000000.txt,1265,22
20171114 000000.txt,1294,44
20171119 000000.txt,1814,42
20171121 000000.txt,860,19
20171203 000000.txt,599,8
20171213 000000.txt,1107,22
20171222 000000.txt,360,4
20171223 000000.txt,754,16
