,threshold,accuracy,precision,recall,f1-score
0,0.01,0.27776295488613273,0.27495409340352733,0.9970701970883366,0.4199679231782022
1,0.02,0.2866388970261489,0.2767871509445883,0.9956842620863084,0.42212632732282845
2,0.03,0.3024213511825922,0.2806887161166263,0.995052119819134,0.4267212583505758
3,0.04,0.32562651778735846,0.2866138934389028,0.9932346763328124,0.43361922924556345
4,0.05,0.35565941822922637,0.29532014628321007,0.989298716585238,0.44348911735264546
5,0.06,0.39023436497975855,0.30627490437235055,0.9871345846034928,0.45592872742216134
6,0.07,0.43343039067473726,0.32162081566177164,0.9834613317741735,0.4727854302399472
7,0.08,0.47907757111717303,0.3394272789363954,0.9769921021259693,0.49161457739664466
8,0.09,0.5251698968779981,0.36009433236779453,0.9677670161905184,0.5124346861912766
9,0.1,0.574330220642671,0.3857987300718468,0.9545953226939516,0.5365084132625584
10,0.11,0.6112469539571107,0.4060236674931623,0.933824500026635,0.5530555148089611
11,0.12,0.6456476697675869,0.4281252029202399,0.9131405152238853,0.5698240163926738
12,0.13,0.6860391493780297,0.4584178861164606,0.8945344394840039,0.5935221709504516
13,0.14,0.7221725302729328,0.48881811222482907,0.8690610166076305,0.6135929383237984
14,0.15,0.7495280364006272,0.5174979583693771,0.8435770378757002,0.6288495670369569
15,0.16,0.7706046620702363,0.5436922302638529,0.8208147425688468,0.6413364930857535
16,0.17,0.7957898445518136,0.5816446028021522,0.7993561744088326,0.660702261409476
17,0.18,0.8136626907985145,0.6210306185013817,0.7810905494235054,0.6773282500230919
18,0.19,0.8295141401312435,0.658144026612786,0.7588398836170287,0.6899672751390546
19,0.2,0.8435754424117029,0.695439376184219,0.7390885871998715,0.700967151468267
20,0.21,0.8524997007426692,0.7273480503128507,0.7128179367144802,0.7042801477784775
21,0.22,0.8580194903314149,0.7580216906272276,0.6871995478165518,0.7040531495440796
22,0.23,0.8644907959875021,0.7914332471021253,0.6655823888285909,0.7078195549162934
23,0.24,0.8671432384117848,0.8165664055028303,0.6468252707322545,0.7055751637773938
24,0.25,0.8664571036671582,0.8297583030734287,0.6188566097741863,0.6922357930114357
25,0.26,0.8642385389387023,0.8473286142310659,0.5913472260373308,0.6774595909725795
26,0.27,0.8648830333798789,0.8708885321451264,0.569114236793575,0.6700198733665632
27,0.28,0.8621777458382479,0.8822932090163265,0.548058961018408,0.6567465315037213
28,0.29,0.8621673801000652,0.916759813714471,0.5272363546578409,0.6472023921902854
29,0.3,0.8584020299381423,0.933456624125943,0.5029148206973484,0.6277882775447808
30,0.31,0.8542351275230705,0.9487711464215189,0.47959527981504685,0.6096443814285168
31,0.32,0.8492423123696189,0.9576790271228468,0.45915610248648875,0.5927540005660076
32,0.33,0.8434939487778482,0.9658660042979402,0.43485262120208806,0.5702069814138023
33,0.34,0.8402126551187584,0.9696075846606511,0.4228767743705157,0.559022844960976
34,0.35,0.8352488018394941,0.9704508620958963,0.40603005704689804,0.543396902507327
35,0.36,0.8302538187780452,0.9721863949171319,0.3889350109018729,0.5264812159266503
36,0.37,0.8254192926282437,0.9725169476935991,0.3730311106682913,0.509447747008831
37,0.38,0.8211221333611148,0.9726622949888527,0.35664355185705604,0.4942873959759264
38,0.39,0.8174715904316963,0.9769295220908125,0.34551848647381206,0.4826374877279258
39,0.4,0.8124254298570509,0.9796167597316515,0.32653739704138574,0.46287105496930564
40,0.41,0.8089339660437062,0.9787933094384706,0.3113109725994391,0.4488539160758493
41,0.42,0.8024897103606478,0.9781219920759976,0.2855689284080035,0.42127688899196836
42,0.43,0.7947001937162029,0.9780015074479832,0.2579521694869732,0.3881633205146907
43,0.44,0.7889815332490111,0.9768990634755463,0.2381873541830319,0.36379105523706545
44,0.45,0.783518677278852,0.9591212458286985,0.21788454389161374,0.33890527129357134
45,0.46,0.7792405106722377,0.9671445639187575,0.201965313588714,0.31790706253835554
46,0.47,0.7755187015188091,0.9670698924731183,0.1887955195053858,0.30102316661065204
47,0.48,0.7725152263197781,0.9669917479369842,0.17865253161628195,0.2875448641264106
48,0.49,0.7686634988260447,0.9347336834208552,0.16136684070550567,0.26280425262916723
49,0.5,0.765997422042999,0.9354838709677419,0.1509642041669979,0.24799890630504498
50,0.51,0.7633723818838015,0.9354838709677419,0.1414613373501705,0.23549838760355318
51,0.52,0.7607627480186158,0.9354838709677419,0.13205915873319293,0.22114532214528537
52,0.53,0.7587679460405403,0.9354838709677419,0.12478373239121233,0.21073279506127107
53,0.54,0.7562669927132291,0.9032258064516129,0.11200415336689643,0.19081584904972423
54,0.55,0.7547748810633352,0.9032258064516129,0.1071074502602558,0.18316666441037638
55,0.56,0.7522018028934332,0.9032258064516129,0.09652044677942345,0.16701540484363622
56,0.57,0.7505477833645917,0.9032258064516129,0.09167988072793767,0.15924717596134125
57,0.58,0.746791119894242,0.8387096774193549,0.07810460746733497,0.13739330802319993
58,0.59,0.7450863345109894,0.8064516129032258,0.07293841233120316,0.12881131998704903
59,0.6,0.7427908377120782,0.7741935483870968,0.06381112191273562,0.11363054198998246
