,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,GROUP6,GROUP7,GROUP8,GROUP9,GROUP10,GROUP11,GROUP12,GROUP13,GROUP14,GROUP15,GROUP16,GROUP17,GROUP18,GROUP19
0.32,0.00641,0.21053,0.05128,0.00641,0.16026,0.02564,0.02146,0.13305,0.12446,0.09871,0.15702,0.13223,0.05769,0.24034,0.00429,0.06522,0.05155,0.01031,0.16292
0.33,0.00641,0.17895,0.04487,0.00641,0.16026,0.02564,0.02146,0.13305,0.03004,0.09442,0.18182,0.12397,0.05769,0.26609,0.00429,0.06522,0.05155,0.01031,0.05618
0.34,0.00641,0.17895,0.04487,0.00641,0.15385,0.02564,0.01717,0.12446,0.01288,0.09442,0.10744,0.12397,0.05769,0.24464,0.00429,0.14493,0.05155,0.01031,0.04494
0.35,0.00641,0.2,0.04487,0.00641,0.14744,0.02564,0.01717,0.1073,0.01288,0.1073,0.10744,0.12397,0.05769,0.18455,0.00429,0.10145,0.01031,0.01031,0.03371
0.36,0.00641,0.2,0.04487,0.00641,0.14744,0.02564,0.01717,0.09442,0.01288,0.1073,0.10744,0.12397,0.05769,0.20172,0.00429,0.10145,0.01031,0.01031,0.03371
0.37,0.00641,0.18947,0.04487,0.00641,0.14744,0.03846,0.01717,0.09013,0.00858,0.03004,0.09917,0.12397,0.05769,0.20172,0.00429,0.1087,0.01031,0.01031,0.03371
0.38,0.00641,0.18947,0.04487,0.00641,0.14744,0.03846,0.01717,0.12876,0.00858,0.03004,0.12397,0.12397,0.05769,0.18884,0.00429,0.10145,0,0.01031,0.03371
0.39,0.00641,0.18947,0.04487,0.00641,0.14744,0.01282,0.01717,0.12876,0.00858,0.03004,0.05785,0.12397,0.05769,0.16309,0.00429,0.13768,0,0.01031,0.03371
0.4,0.00641,0.18947,0.04487,0.00641,0.14744,0.01282,,0.12876,0.00858,0.08155,0.04959,0.05785,0.05769,0.16738,0.00429,0.15942,0,0.01031,0.03371
0.41,0.00641,0.18947,0.04487,0.00641,0.14744,0.01923,,0.08155,0.01717,0.08155,0.04959,0.04959,0.05769,0.16309,0.00429,0.13043,0,0.01031,0.03371
0.42,0.00641,0.22105,0.04487,0.00641,0.14744,0.01923,,0.00429,0.01717,0.08155,0.04959,0.04959,0.05769,0.17167,0.00429,0.13768,0,0.01031,0.03371
0.43,0.00641,0.23158,0.04487,0.00641,0.14744,0.01923,,0.00429,0.01717,0.08155,0.04959,0.10744,0.05769,0.13734,0.00429,0.13043,0,0.01031,0.03371
0.44,0.00641,0.23158,0.04487,0.00641,0.13462,0.01923,,0.00429,0.01717,0.06438,0.04132,0.10744,0.05769,0.12017,0.00429,0.13043,0,0.01031,0.03933
0.45,0.00641,0.23158,0.04487,0.00641,0.13462,0.01923,,0.00429,0.01717,0.05579,0.04132,0.10744,0.05769,0.12017,0.00429,0.11594,0,0.01031,0.03933
0.46,0.00641,0.21053,0.04487,0.00641,,0.01923,,0.00429,0.01717,0.05579,0.04132,0.10744,0.05769,0.17597,0.00429,0.11594,0,0.01031,0.03933
0.47,0.00641,0.23158,0.04487,0.00641,,0.01923,,0.00429,0.01717,0.05579,0.02479,0.10744,0.05769,0.18026,0.00429,0.11594,0,0.01031,0.02809
0.48,0.00641,0.21053,0.04487,0.00641,,0.01923,,0.00429,0.00858,0.05579,0.02479,0.03306,0.05769,0.17597,0.00429,0.11594,0,0.01031,0.02809
0.49,0.00641,0.18947,0.04487,0.00641,,0.01923,,0.00429,0.00858,0.03433,0.02479,0.03306,0.05769,0.17167,0.00429,0.11594,0,0.01031,0.02809
0.5,0.00641,0.2,0.04487,0.00641,,0.0641,,0.00429,0.00858,0.03004,0.02479,0.03306,0.05769,0.12446,0.00429,0.11594,0,0.01031,0.02809
0.51,0.00641,0.21053,0.04487,0.00641,,0.0641,,0.00429,0.00858,0.01717,0.02479,0.03306,0.05769,0.11588,0.00429,0.11594,0,0.01031,0.02809
0.52,0.00641,0.2,0.04487,0.00641,,0.0641,,0.00429,0.00858,0.01717,0.02479,0.03306,0.05769,0.09442,0.00429,0.11594,0,0.01031,0.02809
0.53,0.00641,0.17895,0.04487,0.00641,,0.0641,,0.00429,0.00858,0.01717,0.01653,0.03306,0.05769,0.08155,0.00429,0.08696,0,0.01031,0.02809
0.54,0.00641,0.17895,0.04487,0.00641,,0.0641,,0.00429,0.00858,0.01717,0.04132,0.02479,0.05769,0.06009,0.00429,,0,0.01031,0.02809
0.55,0.00641,0.17895,0.04487,0.00641,,0.02564,,0.00429,0,0.00429,0.04132,0.02479,0.05769,0.06867,0.00429,,0,0.01031,0.02809
